id,label,timeset,weight<links>,weight<citations>,cluster,weight<total_link_strength>
38.0,"alduchov oa, 1996, j appl meteorol, v35, p601, doi 10.1175/1520-0450(1996)035<0601:imfaos>2.0.co;2",,6.0,2.0,1.0,6.0
66.0,"basili p, 2001, ieee t geosci remote, v39, p2436, doi 10.1109/36.964980",,14.0,2.0,4.0,14.0
76.0,"bauer a, 1993, j quant spectrosc ra, v50, p463, doi 10.1016/0022-4073(93)90039-k",,38.0,3.0,2.0,57.0
77.0,"bauer a, 1995, j quant spectrosc ra, v53, p411, doi 10.1016/0022-4073(95)90016-0",,26.0,2.0,2.0,32.0
80.0,"bauer a, 1998, j quant spectrosc ra, v59, p273, doi 10.1016/s0022-4073(97)00111-8",,31.0,2.0,2.0,39.0
111.0,"bevis m, 1992, j geophys res-atmos, v97, p15787",,14.0,3.0,3.0,17.0
112.0,"bevis m, 1994, j appl meteorol, v33, p379, doi 10.1175/1520-0450(1994)033<0379:gmmzwd>2.0.co;2",,21.0,3.0,3.0,22.0
144.0,"borysow a, 1986, astrophys j, v311, p1043, doi 10.1086/164841",,33.0,2.0,2.0,50.0
149.0,"brasseur g p, 1999, atmospheric chem glo",,15.0,2.0,4.0,19.0
166.0,"buehler sa, 2005, j quant spectrosc ra, v91, p65, doi 10.1016/j.jqsrt.2004.05.051",,18.0,2.0,4.0,18.0
176.0,"bussmann rs, 2005, astrophys j, v622, p1343, doi 10.1086/427935",,17.0,2.0,1.0,17.0
178.0,"bustos r, 2014, publ astron soc pac, v126, p1126, doi 10.1086/679330",,24.0,2.0,1.0,25.0
182.0,"butchart n, 1986, j atmos sci, v43, p1319, doi 10.1175/1520-0469(1986)043<1319:taotsp>2.0.co;2",,10.0,2.0,4.0,12.0
186.0,"cadeddu mp, 2006, p micr spec m san ju, p252",,8.0,2.0,3.0,11.0
189.0,"cady-pereira ke, 2008, j atmos ocean tech, v25, p873, doi 10.1175/2007jtecha1027.1",,30.0,3.0,3.0,48.0
192.0,"calisse pg, 2004, publ astron soc aust, v21, p252, doi 10.1071/as02044",,37.0,3.0,1.0,44.0
193.0,"calisse pg, 2004, publ astron soc aust, v21, p256, doi 10.1071/as03018",,32.0,4.0,1.0,38.0
204.0,"cernicharo j, 1985, atm program compute",,33.0,2.0,2.0,50.0
205.0,"cernicharo j, 1988, thesis u paris 7",,33.0,2.0,2.0,50.0
209.0,"chamberlin ra, 1994, appl optics, v33, p1095, doi 10.1364/ao.33.001095",,41.0,3.0,1.0,46.0
211.0,"chamberlin ra, 1997, astrophys j, v476, p428, doi 10.1086/303621",,42.0,3.0,1.0,44.0
213.0,"chamberlin ra, 2001, jgr, v106, p20",,33.0,2.0,2.0,33.0
214.0,"chamberlin ra, 2003, p soc photo-opt ins, v4855, p609, doi 10.1117/12.488694",,25.0,2.0,1.0,28.0
215.0,"chamberlin ra, 2004, publ astron soc aust, v21, p264, doi 10.1071/as03012",,25.0,2.0,1.0,28.0
228.0,"chen p, 2000, astrophys j suppl s, v128, p371, doi 10.1086/313377",,33.0,2.0,2.0,37.0
229.0,"cheville ra, 1999, j opt soc am b, v16, p317, doi 10.1364/josab.16.000317",,18.0,2.0,2.0,26.0
242.0,"cimini d, 2007, ieee t geosci remote, v45, p2169, doi 10.1109/tgrs.2007.897450",,37.0,4.0,3.0,55.0
243.0,"cimini d, 2009, ieee t geosci remote, v47, p3098, doi 10.1109/tgrs.2009.2020743",,33.0,3.0,3.0,51.0
252.0,"clough sa, 1989, atmos res, v23, p229, doi 10.1016/0169-8095(89)90020-3",,78.0,8.0,2.0,145.0
255.0,"clough sa, 2005, j quant spectrosc ra, v91, p233, doi 10.1016/j.jqsrt.2004.05.058",,44.0,3.0,3.0,50.0
265.0,"connolley wm, 1993, q j roy meteor soc, v119, p325, doi 10.1002/qj.49711951006",,19.0,2.0,1.0,21.0
269.0,"cook r. l., 1984, microwave mol spectr",,35.0,2.0,2.0,43.0
273.0,"crewell s, 2003, radio sci, v38, doi 10.1029/2002rs002634",,30.0,2.0,3.0,45.0
285.0,"dagg ir, 1978, can j phys, v56, p1037",,31.0,2.0,2.0,39.0
290.0,"davis gr, 1993, j quant spectrosc ra, v50, p673, doi 10.1016/0022-4073(93)90034-f",,36.0,2.0,2.0,39.0
291.0,"davis gr, 1997, icarus, v130, p387, doi 10.1006/icar.1997.5836",,1.0,2.0,1.0,1.0
292.0,"davis jl, 1985, radio sci, v20, p1593, doi 10.1029/rs020i006p01593",,14.0,2.0,3.0,16.0
304.0,"decker mt, 1978, j appl meteorol, v17, p1788, doi 10.1175/1520-0450(1978)017<1788:eeogbm>2.0.co;2",,11.0,2.0,6.0,11.0
311.0,"denny sp, 2013, new astron, v25, p114, doi 10.1016/j.newast.2013.04.008",,5.0,2.0,1.0,5.0
318.0,"dicke rh, 1946, phys rev, v70, p340, doi 10.1103/physrev.70.340",,29.0,3.0,1.0,34.0
325.0,"dragovan m, 1990, appl optics, v29, p463, doi 10.1364/ao.29.000463",,24.0,3.0,1.0,29.0
342.0,"elliott wp, 1991, b am meteorol soc, v72, p1507, doi 10.1175/1520-0477(1991)072<1507:otuorh>2.0.co;2",,17.0,2.0,1.0,17.0
361.0,"evans kf, 1998, j appl meteorol, v37, p184, doi 10.1175/1520-0450(1998)037<0184:mosprs>2.0.co;2",,24.0,3.0,5.0,26.0
399.0,"fortuin jpf, 1998, j geophys res-atmos, v103, p31709, doi 10.1029/1998jd200008",,10.0,2.0,1.0,10.0
434.0,"gasster sd, 1988, j opt soc am b, v5, p593, doi 10.1364/josab.5.000593",,18.0,2.0,2.0,26.0
440.0,"gettelman a, 2006, j geophys res-atmos, v111, doi 10.1029/2005jd006636",,33.0,2.0,1.0,36.0
449.0,"giovanelli r, 2001, publ astron soc pac, v113, p803, doi 10.1086/322136",,20.0,2.0,1.0,27.0
476.0,"grischkowsky d, 1990, j opt soc am b, v7, p2006, doi 10.1364/josab.7.002006",,18.0,2.0,2.0,26.0
481.0,"gross ep, 1955, phys rev, v97, p395, doi 10.1103/physrev.97.395",,36.0,3.0,6.0,43.0
482.0,"grossman e, 1989, at users manual",,33.0,2.0,2.0,50.0
501.0,"han y, 2000, ieee t geosci remote, v38, p1260, doi 10.1109/36.843018",,31.0,3.0,4.0,38.0
505.0,"harde h, 1997, j phys chem a, v101, p3646, doi 10.1021/jp962974c",,18.0,2.0,2.0,26.0
508.0,"harries je, 1996, j geophys res-atmos, v101, p10205, doi 10.1029/95jd02933",,11.0,2.0,4.0,15.0
530.0,"hewison tj, 2006, meteorol z, v15, p27, doi 10.1127/0941-2948/2006/0097",,33.0,2.0,3.0,39.0
551.0,"hogg dc, 1983, j clim appl meteorol, v22, p789, doi 10.1175/1520-0450(1983)022<0789:asdcmr>2.0.co;2",,9.0,2.0,6.0,12.0
557.0,"holland ws, 1999, mon not r astron soc, v303, p659, doi 10.1046/j.1365-8711.1999.02111.x",,20.0,2.0,1.0,20.0
575.0,"hyland rw, 1983, ashrae t, v89, p500",,18.0,2.0,1.0,18.0
580.0,"jacquinet-husson n, 1999, j quant spectrosc ra, v62, p205, doi 10.1016/s0022-4073(98)00111-3",,33.0,2.0,2.0,50.0
584.0,"janssen m., 1993, atmospheric remote s",,19.0,2.0,4.0,24.0
603.0,"kakar rk, 1983, j clim appl meteorol, v22, p1282, doi 10.1175/1520-0450(1983)022<1282:rocsmp>2.0.co;2",,10.0,2.0,5.0,14.0
611.0,"karmakar pk, 1999, int j remote sens, v20, p2637, doi 10.1080/014311699211985",,9.0,2.0,6.0,12.0
636.0,"king j. c., 1997, antarctic meteorolog",,41.0,5.0,1.0,49.0
669.0,"kuhn t, 2002, j quant spectrosc ra, v74, p545, doi 10.1016/s0022-4073(01)00271-0",,40.0,2.0,3.0,43.0
683.0,"lane a. p., 1998, astronomical society of the pacific conference series, v141, p289",,26.0,2.0,2.0,27.0
708.0,"liebe h.j., 1987, 87224 ntia",,52.0,4.0,4.0,58.0
709.0,"liebe h.j., 1993, p agard 52 spec m el",,44.0,4.0,2.0,82.0
711.0,"liebe hj, 1985, radio sci, v20, p1069, doi 10.1029/rs020i005p01069",,16.0,3.0,6.0,22.0
714.0,"liebe hj, 1989, int j infrared milli, v10, p631, doi 10.1007/bf01009565",,71.0,9.0,2.0,123.0
715.0,"liebe hj, 1991, int j infrared milli, v12, p659, doi 10.1007/bf01008897",,22.0,2.0,3.0,22.0
716.0,"liebe hj, 1992, j quant spectrosc ra, v48, p629, doi 10.1016/0022-4073(92)90127-p",,10.0,2.0,6.0,10.0
719.0,"liljegren j. c., 2000, microwave radiometry, p433",,33.0,2.0,3.0,39.0
